"type","Status","Amount_In_Dollars","Market_Title","Market_Id","Original_Date","Filled","Canceled_By_You","Canceled_By_NSF","Canceled_By_Closing","Original_Placed","Remaining","Price_In_Cents","Fee_In_Dollars","Traded_Time","Direction","Settled_Time","Result","Profit_In_Dollars","Yes_Contracts_Owned","Yes_Contracts_Average_Price_In_Cents","No_Contracts_Owned","No_Contracts_Average_Price_In_Cents","Deposit_Type","Last_Updated"
"Trade","","1","Will the **high temp in Miami** be 76-77° on Apr 1 2024?","8e00ff81-aaa8-4eb5-b84e-773e998560a4","Apr 1, 2024","","","","","","","1","0.01","Apr 1, 2024 at 10:49PM EDT","No","","","","","","","","",""
"Order","Placed ","","Will the **high temp in Miami** be <76° on Apr 1 2024?","3e1476f6-7dee-4c49-9673-67293b4f0205","Apr 1, 2024","0","0","0","0","1","1","","","","","","","","","","","","",""
"Order","Placed ","","Will the **high temp in NYC** be >55° on Apr 1 2024?","dc0cefb9-ad9f-440a-81b3-8ca0f7fb0c2f","Apr 1, 2024","0","0","0","0","1","1","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in NYC** be 54-55° on Apr 1 2024?","4cb08ddf-a7b2-456b-bdd9-b2c5254a9dad","Apr 1, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Trade","","1","Will the **high temp in NYC** be 54-55° on Apr 1 2024?","4cb08ddf-a7b2-456b-bdd9-b2c5254a9dad","Apr 1, 2024","","","","","","","1","0.01","Apr 1, 2024 at 10:49PM EDT","No","","","","","","","","",""
"Order","Filled ","","Will the **high temp in NYC** be 52-53° on Apr 1 2024?","fa11de24-c93e-4613-b226-896fa79b7093","Apr 1, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Trade","","1","Will the **high temp in NYC** be 52-53° on Apr 1 2024?","fa11de24-c93e-4613-b226-896fa79b7093","Apr 1, 2024","","","","","","","1","0.01","Apr 1, 2024 at 10:49PM EDT","No","","","","","","","","",""
"Order","Filled ","","Will the **high temp in NYC** be 50-51° on Apr 1 2024?","be03a573-f484-472e-9430-4dfc63ea289d","Apr 1, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Trade","","1","Will the **high temp in NYC** be 50-51° on Apr 1 2024?","be03a573-f484-472e-9430-4dfc63ea289d","Apr 1, 2024","","","","","","","1","0.01","Apr 1, 2024 at 10:49PM EDT","No","","","","","","","","",""
"Order","Filled ","","Will the **high temp in NYC** be 48-49° on Apr 1 2024?","4fdf8595-56a6-499f-857d-aa3e42fdb917","Apr 1, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Trade","","1","Will the **high temp in NYC** be 48-49° on Apr 1 2024?","4fdf8595-56a6-499f-857d-aa3e42fdb917","Apr 1, 2024","","","","","","","1","0.01","Apr 1, 2024 at 10:49PM EDT","No","","","","","","","","",""
"Order","Filled ","","Will the **high temp in NYC** be <48° on Apr 1 2024?","14ae5e02-bfb5-4897-9e6c-063ebc35a7ac","Apr 1, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Trade","","1","Will the **high temp in NYC** be <48° on Apr 1 2024?","14ae5e02-bfb5-4897-9e6c-063ebc35a7ac","Apr 1, 2024","","","","","","","50","0.02","Apr 1, 2024 at 10:49PM EDT","No","","","","","","","","",""
"Order","Placed ","","Will the high temp in Chicago be >49° on Apr 1 2024?","24355087-b20d-47ef-a355-18f22d735cf0","Apr 1, 2024","0","0","0","0","1","1","","","","","","","","","","","","",""
"Order","Filled ","","Will the high temp in Chicago be 48-49° on Apr 1 2024?","1aa88f8c-9b5f-43d3-a38e-bcecdc63d2f3","Apr 1, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Trade","","1","Will the high temp in Chicago be 48-49° on Apr 1 2024?","1aa88f8c-9b5f-43d3-a38e-bcecdc63d2f3","Apr 1, 2024","","","","","","","1","0.01","Apr 1, 2024 at 10:49PM EDT","No","","","","","","","","",""
"Trade","","1","Will the high temp in Chicago be 46-47° on Apr 1 2024?","b4fd8235-6884-46a9-9cb5-ef56869c1815","Apr 1, 2024","","","","","","","1","0.01","Apr 1, 2024 at 10:49PM EDT","No","","","","","","","","",""
"Trade","","1","Will the high temp in Chicago be 44-45° on Apr 1 2024?","abdafde6-2e44-4285-a772-3348eb54e4c4","Apr 1, 2024","","","","","","","1","0.01","Apr 1, 2024 at 10:49PM EDT","No","","","","","","","","",""
"Settlement","","","Will the **high temp in Miami** be >80° on Mar 29 2024?","","","","","","","","","","","","","2024-03-30T12:01:06.111187Z","no","0.00","1","99.00","0","0.00","",""
"Settlement","","","Will the **high temp in Miami** be <73° on Mar 29 2024?","","","","","","","","","","","","","2024-03-30T12:01:06.111187Z","no","0.00","0","0.00","0","0.00","",""
"Settlement","","","Will the **high temp in Miami** be 79-80° on Mar 29 2024?","","","","","","","","","","","","","2024-03-30T12:01:06.111187Z","yes","0.00","0","0.00","1","99.00","",""
"Settlement","","","Will the **high temp in Miami** be 77-78° on Mar 29 2024?","","","","","","","","","","","","","2024-03-30T12:01:06.111187Z","no","1.00","0","0.00","1","1.00","",""
"Settlement","","","Will the **high temp in Miami** be 75-76° on Mar 29 2024?","","","","","","","","","","","","","2024-03-30T12:01:06.111187Z","no","0.00","0","0.00","0","0.00","",""
"Settlement","","","Will the **high temp in Miami** be 73-74° on Mar 29 2024?","","","","","","","","","","","","","2024-03-30T12:01:06.111187Z","no","0.00","0","0.00","0","0.00","",""
"Settlement","","","Will the **high temp in Austin** be >81° on Mar 29 2024?","","","","","","","","","","","","","2024-03-30T12:00:59.065034Z","no","1.00","0","0.00","1","1.00","",""
"Settlement","","","Will the **high temp in Austin** be <74° on Mar 29 2024?","","","","","","","","","","","","","2024-03-30T12:00:59.065034Z","no","0.00","1","1.00","0","0.00","",""
"Settlement","","","Will the **high temp in Austin** be 80-81° on Mar 29 2024?","","","","","","","","","","","","","2024-03-30T12:00:59.065034Z","no","1.00","0","0.00","1","1.00","",""
"Settlement","","","Will the **high temp in Austin** be 78-79° on Mar 29 2024?","","","","","","","","","","","","","2024-03-30T12:00:59.065034Z","yes","0.00","0","0.00","1","99.00","",""
"Settlement","","","Will the **high temp in Austin** be 76-77° on Mar 29 2024?","","","","","","","","","","","","","2024-03-30T12:00:59.065034Z","no","1.00","0","0.00","1","1.00","",""
"Settlement","","","Will the **high temp in Austin** be 74-75° on Mar 29 2024?","","","","","","","","","","","","","2024-03-30T12:00:59.065034Z","no","0.00","0","0.00","0","0.00","",""
"Settlement","","","Will the **high temp in NYC** be >58° on Mar 29 2024?","","","","","","","","","","","","","2024-03-30T12:00:51.099761Z","no","1.00","0","0.00","1","99.00","",""
"Settlement","","","Will the **high temp in NYC** be <51° on Mar 29 2024?","","","","","","","","","","","","","2024-03-30T12:00:51.099761Z","no","1.00","0","0.00","1","99.00","",""
"Settlement","","","Will the **high temp in NYC** be 57-58° on Mar 29 2024?","","","","","","","","","","","","","2024-03-30T12:00:51.099761Z","no","0.00","0","0.00","0","0.00","",""
"Settlement","","","Will the **high temp in NYC** be 55-56° on Mar 29 2024?","","","","","","","","","","","","","2024-03-30T12:00:51.099761Z","yes","0.00","0","0.00","1","1.00","",""
"Settlement","","","Will the **high temp in NYC** be 53-54° on Mar 29 2024?","","","","","","","","","","","","","2024-03-30T12:00:51.099761Z","no","0.00","1","1.00","0","0.00","",""
"Settlement","","","Will the **high temp in NYC** be 51-52° on Mar 29 2024?","","","","","","","","","","","","","2024-03-30T12:00:51.099761Z","no","0.00","0","0.00","0","0.00","",""
"Settlement","","","Will the high temp in Chicago be >55° on Mar 29 2024?","","","","","","","","","","","","","2024-03-30T12:00:43.089491Z","no","0.00","0","0.00","0","0.00","",""
"Settlement","","","Will the high temp in Chicago be <48° on Mar 29 2024?","","","","","","","","","","","","","2024-03-30T12:00:43.089491Z","no","0.00","1","1.00","0","0.00","",""
"Trade","","1","Will the high temp in Chicago be 50-51° on Mar 29 2024?","494c92da-b406-4068-bd93-b692a9a56c30","Mar 29, 2024","","","","","","","99","0.00","Mar 29, 2024 at 7:46PM EDT","No","","","","","","","","",""
"Trade","","1","Will the **high temp in Miami** be 79-80° on Mar 29 2024?","4894bd04-33ea-4fff-96ea-dd116787a43d","Mar 29, 2024","","","","","","","99","0.00","Mar 29, 2024 at 6:22PM EDT","No","","","","","","","","",""
"Trade","","1","Will the high temp in Chicago be 52-53° on Mar 29 2024?","262de5e1-98ee-4ba2-8e61-3254012d6d67","Mar 29, 2024","","","","","","","99","0.00","Mar 29, 2024 at 6:20PM EDT","No","","","","","","","","",""
"Deposit","Applied","100","","","February 26, 2024 at 7:41:12 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:41:13 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:41:04 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:41:05 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:40:57 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:40:58 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:40:51 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:40:52 PM EST"
"Deposit","Applied","200","","","February 26, 2024 at 7:40:39 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:40:39 PM EST"
"Deposit","Applied","200","","","February 26, 2024 at 7:40:29 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:40:30 PM EST"
"Deposit","Applied","200","","","February 26, 2024 at 7:40:20 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:40:21 PM EST"
"Deposit","Applied","200","","","February 26, 2024 at 7:40:10 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:40:11 PM EST"
"Deposit","Applied","200","","","February 26, 2024 at 7:40:02 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:40:02 PM EST"
"Deposit","Applied","200","","","February 26, 2024 at 7:39:53 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:39:54 PM EST"
"Deposit","Applied","200","","","February 26, 2024 at 7:39:43 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:39:44 PM EST"
"Deposit","Applied","200","","","February 26, 2024 at 7:39:33 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:39:33 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:39:11 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:39:11 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:39:04 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:39:05 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:38:59 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:39:00 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:38:54 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:38:55 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:38:50 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:38:51 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:38:45 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:38:46 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:38:41 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:38:42 PM EST"
"Deposit","Applied","100","","","February 26, 2024 at 7:38:36 PM EST","","","","","","","","0","","","","","","","","","","ach","February 26, 2024 at 7:38:36 PM EST"
"Order","Filled ","","Will the high temp in Chicago be 46-47° on Apr 1 2024?","b4fd8235-6884-46a9-9cb5-ef56869c1815","Apr 1, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the high temp in Chicago be 44-45° on Apr 1 2024?","abdafde6-2e44-4285-a772-3348eb54e4c4","Apr 1, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Placed ","","Will the high temp in Chicago be 42-43° on Apr 1 2024?","7ca52047-52d3-4dce-8a59-b37f1a0087ec","Apr 1, 2024","0","0","0","0","1","1","","","","","","","","","","","","",""
"Order","Placed ","","Will the high temp in Chicago be <42° on Apr 1 2024?","84a8021d-4eda-40e9-8c13-80f6fe3974cf","Apr 1, 2024","0","0","0","0","1","1","","","","","","","","","","","","",""
"Settlement","","","Will the high temp in Chicago be 54-55° on Mar 29 2024?","","","","","","","","","","","","","2024-03-30T12:00:43.089491Z","no","1.00","0","0.00","1","1.00","",""
"Settlement","","","Will the high temp in Chicago be 52-53° on Mar 29 2024?","","","","","","","","","","","","","2024-03-30T12:00:43.089491Z","yes","0.00","0","0.00","1","99.00","",""
"Settlement","","","Will the high temp in Chicago be 50-51° on Mar 29 2024?","","","","","","","","","","","","","2024-03-30T12:00:43.089491Z","no","1.00","0","0.00","1","99.00","",""
"Settlement","","","Will the high temp in Chicago be 48-49° on Mar 29 2024?","","","","","","","","","","","","","2024-03-30T12:00:43.089491Z","no","1.00","0","0.00","1","1.00","",""
"Order","Canceled ","","Will the **high temp in Austin** be 74-75° on Mar 29 2024?","91db67d6-ecec-47fa-a0fa-210c0e19e2b8","Mar 29, 2024","0","0","0","1","1","0","","","","","","","","","","","","",""
"Order","Canceled ","","Will the **high temp in NYC** be 51-52° on Mar 29 2024?","730e330e-4d5a-4b79-b704-fc3a28208406","Mar 29, 2024","0","0","0","1","1","0","","","","","","","","","","","","",""
"Order","Canceled ","","Will the **high temp in NYC** be 57-58° on Mar 29 2024?","6357f0a3-4a79-4b1c-b30f-3419e1769be0","Mar 29, 2024","0","0","0","1","1","0","","","","","","","","","","","","",""
"Order","Canceled ","","Will the high temp in Chicago be >55° on Mar 29 2024?","bf1b868e-beb4-441f-b8f8-309d2aac84a7","Mar 29, 2024","0","0","0","1","1","0","","","","","","","","","","","","",""
"Order","Canceled ","","Will the **high temp in Miami** be <73° on Mar 29 2024?","0570f38a-3aff-49fb-9e11-4beee7e767f8","Mar 29, 2024","0","0","0","1","1","0","","","","","","","","","","","","",""
"Order","Canceled ","","Will the **high temp in Miami** be 73-74° on Mar 29 2024?","424c5764-c275-4706-9097-1a565f7e8b53","Mar 29, 2024","0","0","0","1","1","0","","","","","","","","","","","","",""
"Order","Canceled ","","Will the **high temp in Miami** be 75-76° on Mar 29 2024?","8adc56bf-9286-4775-b14b-5a410f185987","Mar 29, 2024","0","0","0","1","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the high temp in Chicago be 50-51° on Mar 29 2024?","494c92da-b406-4068-bd93-b692a9a56c30","Mar 29, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Miami** be 79-80° on Mar 29 2024?","4894bd04-33ea-4fff-96ea-dd116787a43d","Mar 29, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the high temp in Chicago be 52-53° on Mar 29 2024?","262de5e1-98ee-4ba2-8e61-3254012d6d67","Mar 29, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Austin** be 78-79° on Mar 29 2024?","ff76597e-a6cc-40c6-961a-3c4ace2f1736","Mar 29, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Trade","","1","Will the **high temp in Austin** be 78-79° on Mar 29 2024?","ff76597e-a6cc-40c6-961a-3c4ace2f1736","Mar 29, 2024","","","","","","","99","0.00","Mar 29, 2024 at 6:17PM EDT","No","","","","","","","","",""
"Order","Filled ","","Will the **high temp in NYC** be <51° on Mar 29 2024?","7290f28e-fa9a-4d6e-a39a-ec4878b4698d","Mar 29, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Trade","","1","Will the **high temp in NYC** be <51° on Mar 29 2024?","7290f28e-fa9a-4d6e-a39a-ec4878b4698d","Mar 29, 2024","","","","","","","99","0.00","Mar 29, 2024 at 5:04PM EDT","No","","","","","","","","",""
"Order","Filled ","","Will the **high temp in NYC** be >58° on Mar 29 2024?","cb69c6d4-aee0-40fc-a9eb-ffcad75ef235","Mar 29, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Trade","","1","Will the **high temp in NYC** be >58° on Mar 29 2024?","cb69c6d4-aee0-40fc-a9eb-ffcad75ef235","Mar 29, 2024","","","","","","","99","0.00","Mar 29, 2024 at 3:19PM EDT","No","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Miami** be >80° on Mar 29 2024?","f760bb53-3c6e-494c-87a8-9bdd2d699800","Mar 29, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Trade","","1","Will the **high temp in Miami** be >80° on Mar 29 2024?","f760bb53-3c6e-494c-87a8-9bdd2d699800","Mar 29, 2024","","","","","","","99","0.00","Mar 29, 2024 at 3:04PM EDT","Yes","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Austin** be >81° on Mar 29 2024?","e265a56a-03ac-49b7-96fa-c0fa875584b4","Mar 29, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Trade","","1","Will the **high temp in Austin** be >81° on Mar 29 2024?","e265a56a-03ac-49b7-96fa-c0fa875584b4","Mar 29, 2024","","","","","","","1","0.01","Mar 29, 2024 at 2:47PM EDT","No","","","","","","","","",""
"Order","Filled ","","Will the **high temp in Austin** be 80-81° on Mar 29 2024?","24e41851-7f43-4f7d-8296-36c9b8a00015","Mar 29, 2024","1","0","0","0","1","0","","","","","","","","","","","","",""
"Trade","","1","Will the **high temp in Austin** be 80-81° on Mar 29 2024?","24e41851-7f43-4f7d-8296-36c9b8a00015","Mar 29, 2024","","","","","","","1","0.01","Mar 29, 2024 at 2:47PM EDT","No","","","","","","","","",""
"Trade","","1","Will the **high temp in Austin** be 76-77° on Mar 29 2024?","962f9c27-dc98-489a-8587-399f56674099","Mar 29, 2024","","","","","","","1","0.01","Mar 29, 2024 at 2:47PM EDT","No","","","","","","","","",""
"Trade","","1","Will the **high temp in Austin** be <74° on Mar 29 2024?","86a437c3-4fcd-4b24-bc48-69efc95a322b","Mar 29, 2024","","","","","","","1","0.01","Mar 29, 2024 at 2:47PM EDT","Yes","","","","","","","","",""
"Trade","","1","Will the **high temp in Miami** be 77-78° on Mar 29 2024?","154749a8-9f48-4d30-97df-5ea1dedaabeb","Mar 29, 2024","","","","","","","1","0.01","Mar 29, 2024 at 2:47PM EDT","No","","","","","","","","",""
"Trade","","1","Will the **high temp in NYC** be 55-56° on Mar 29 2024?","d3ef93b8-780f-45df-8a1f-60c6515f3d95","Mar 29, 2024","","","","","","","1","0.01","Mar 29, 2024 at 2:46PM EDT","No","","","","","","","","",""
"Trade","","1","Will the **high temp in NYC** be 53-54° on Mar 29 2024?","d0a01e7f-6b60-44dd-b2cf-1ba4de673b21","Mar 29, 2024","","","","","","","1","0.01","Mar 29, 2024 at 2:46PM EDT","Yes","","","","","","","","",""
"Trade","","1","Will the high temp in Chicago be 54-55° on Mar 29 2024?","6603f717-1ac2-4b7b-95f9-b1fc4f490852","Mar 29, 2024","","","","","","","1","0.01","Mar 29, 2024 at 2:46PM EDT","No","","","","","","","","",""
"Trade","","1","Will the high temp in Chicago be 48-49° on Mar 29 2024?","7cc296f3-48c2-40a2-9b7a-733d454673dc","Mar 29, 2024","","","","","","","1","0.01","Mar 29, 2024 at 2:46PM EDT","No","","","","","","","","",""
"Trade","","1","Will the high temp in Chicago be <48° on Mar 29 2024?","51a7403b-3ad6-437d-9eef-8b7385f47297","Mar 29, 2024","","","","","","","1","0.01","Mar 29, 2024 at 2:46PM EDT","Yes","","","","","","","","",""
"Settlement","","","Will the **high temp in Miami** be >88° on Mar 28 2024?","","","","","","","","","","","","","2024-03-29T12:01:13.076125Z","no","1.00","0","0.00","1","99.00","",""
"Settlement","","","Will the **high temp in Miami** be <81° on Mar 28 2024?","","","","","","","","","","","","","2024-03-29T12:01:13.076125Z","no","1.00","0","0.00","1","1.00","",""
"Settlement","","","Will the **high temp in Miami** be 87-88° on Mar 28 2024?","","","","","","","","","","","","","2024-03-29T12:01:13.076125Z","yes","0.00","0","0.00","1","99.00","",""
"Settlement","","","Will the **high temp in Miami** be 85-86° on Mar 28 2024?","","","","","","","","","","","","","2024-03-29T12:01:13.076125Z","no","1.00","0","0.00","1","99.00","",""
"Settlement","","","Will the **high temp in Miami** be 83-84° on Mar 28 2024?","","","","","","","","","","","","","2024-03-29T12:01:13.076125Z","no","0.00","1","99.00","0","0.00","",""
"Settlement","","","Will the **high temp in Miami** be 81-82° on Mar 28 2024?","","","","","","","","","","","","","2024-03-29T12:01:13.076125Z","no","1.00","0","0.00","1","99.00","",""
"Settlement","","","Will the **high temp in Austin** be >80° on Mar 28 2024?","","","","","","","","","","","","","2024-03-29T12:01:05.126555Z","no","1.00","0","0.00","1","99.00","",""
"Settlement","","","Will the **high temp in Austin** be <73° on Mar 28 2024?","","","","","","","","","","","","","2024-03-29T12:01:05.126555Z","no","0.00","1","99.00","0","0.00","",""
"Settlement","","","Will the **high temp in Austin** be 79-80° on Mar 28 2024?","","","","","","","","","","","","","2024-03-29T12:01:05.126555Z","no","1.00","0","0.00","1","99.00","",""
"Settlement","","","Will the **high temp in Austin** be 77-78° on Mar 28 2024?","","","","","","","","","","","","","2024-03-29T12:01:05.126555Z","no","1.00","0","0.00","1","99.00","",""
"Settlement","","","Will the **high temp in Austin** be 75-76° on Mar 28 2024?","","","","","","","","","","","","","2024-03-29T12:01:05.126555Z","yes","0.00","0","0.00","1","99.00","",""
"Settlement","","","Will the **high temp in Austin** be 73-74° on Mar 28 2024?","","","","","","","","","","","","","2024-03-29T12:01:05.126555Z","no","1.00","0","0.00","1","99.00","",""
"Settlement","","","Will the **high temp in NYC** be >58° on Mar 28 2024?","","","","","","","","","","","","","2024-03-29T12:00:58.066121Z","no","1.00","0","0.00","1","1.00","",""
"Settlement","","","Will the **high temp in NYC** be <51° on Mar 28 2024?","","","","","","","","","","","","","2024-03-29T12:00:58.066121Z","no","1.00","0","0.00","1","1.00","",""
"Settlement","","","Will the **high temp in NYC** be 57-58° on Mar 28 2024?","","","","","","","","","","","","","2024-03-29T12:00:58.066121Z","no","0.00","0","0.00","0","0.00","",""
"Settlement","","","Will the **high temp in NYC** be 55-56° on Mar 28 2024?","","","","","","","","","","","","","2024-03-29T12:00:58.066121Z","no","0.00","0","0.00","0","0.00","",""
"Trade","","1","Will the **high temp in Miami** be >88° on Mar 28 2024?","383aa97a-a3ba-44e0-9dee-e18a2fd2797c","Mar 28, 2024","","","","","","","99","0.00","Mar 28, 2024 at 6:04PM EDT","No","","","","","","","","",""
"Trade","","1","Will the **high temp in Austin** be >80° on Mar 28 2024?","676497f1-9045-4d81-b1b5-b58036190718","Mar 28, 2024","","","","","","","99","0.00","Mar 28, 2024 at 6:04PM EDT","No","","","","","","","","",""
"Trade","","1","Will the **high temp in Miami** be 87-88° on Mar 28 2024?","ca239585-556c-4374-b121-a045910cc3f2","Mar 28, 2024","","","","","","","99","0.00","Mar 28, 2024 at 5:30PM EDT","No","","","","","","","","",""
